date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:15:41	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Feb%202020%2018:15:41%20GMT	http://alisena-html.buzline.org/robots.txt		(from )
19:15:41	49414/49414	---MCZ	200	added ('OK')	text/html	etag:W/%22c106-582fe3e2d1800%22	http://alisena-html.buzline.org/	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/index.html	(from )
19:15:42	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225b8e55ac-47e%22	http://alisena-html.buzline.org/img/favicon/favicon.ico	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/img/favicon/favicon.ico	(from http://alisena-html.buzline.org/)
19:15:42	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/wejdene/Desktop/ejaw/temp/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://alisena-html.buzline.org/)
19:15:43	119233/119233	---MCZ	200	added ('OK')	text/css	etag:W/%221d1c1-574d4aaeb7640%22	https://cdn.materialdesignicons.com/2.7.94/css/materialdesignicons.min.css	C:/Users/wejdene/Desktop/ejaw/temp/cdn.materialdesignicons.com/2.7.94/css/materialdesignicons.min.css	(from http://alisena-html.buzline.org/)
19:15:43	1369/1369	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ad6-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.css	C:/Users/wejdene/Desktop/ejaw/temp/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.css	(from http://alisena-html.buzline.org/)
19:15:44	15275/15275	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ad2-3bab%22	https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.6-rc.0/css/select2.min.css	C:/Users/wejdene/Desktop/ejaw/temp/cdnjs.cloudflare.com/ajax/libs/select2/4.0.6-rc.0/css/select2.min.css	(from http://alisena-html.buzline.org/)
19:15:44	8069/8069	---M-Z	200	added ('OK')	text/css	etag:W/%221f85-jqRIojRLzDZKkujJKC/BWFh0US4%22	https://cdn.jsdelivr.net/npm/daterangepicker/daterangepicker.css	C:/Users/wejdene/Desktop/ejaw/temp/cdn.jsdelivr.net/npm/daterangepicker/daterangepicker.css	(from http://alisena-html.buzline.org/)
19:15:44	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Feb%202020%2018:15:44%20GMT	http://cdn.rawgit.com/noelboss/featherlight/1.7.13/release/featherlight.min.css	C:/Users/wejdene/Desktop/ejaw/temp/cdn.rawgit.com/noelboss/featherlight/1.7.13/release/featherlight.min.6.delayed	(from http://alisena-html.buzline.org/)
19:15:45	1868/1868	---MCZ	200	added ('OK')	text/css	etag:W/%22058487f916816cd2ea1b4aa0998d98494effb09d%22	https://cdn.rawgit.com/noelboss/featherlight/1.7.13/release/featherlight.min.css	C:/Users/wejdene/Desktop/ejaw/temp/cdn.rawgit.com/noelboss/featherlight/1.7.13/release/featherlight.min.css	(from http://alisena-html.buzline.org/)
19:15:46	49414/49414	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-c106%22	http://alisena-html.buzline.org/index.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/index-2.html	(from http://alisena-html.buzline.org/)
19:15:46	2418/2418	---M--	200	added ('OK')	image/png	etag:%225ba37cb0-972%22	http://alisena-html.buzline.org/img/logo.png	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/img/logo.png	(from http://alisena-html.buzline.org/)
19:15:46	396692/396692	---MCZ	200	added ('OK')	text/css	etag:W/%225c78895e-60d94%22	http://alisena-html.buzline.org/css/index.css	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/css/index.css	(from http://alisena-html.buzline.org/)
19:15:47	31573/31573	---MCZ	200	added ('OK')	text/html	etag:W/%225c78895e-7b55%22	http://alisena-html.buzline.org/about.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/about.html	(from http://alisena-html.buzline.org/)
19:15:47	28801/28801	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-7081%22	http://alisena-html.buzline.org/typography.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/typography.html	(from http://alisena-html.buzline.org/)
19:15:47	19275/19275	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-4b4b%22	http://alisena-html.buzline.org/gallery.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/gallery.html	(from http://alisena-html.buzline.org/)
19:15:48	18523/18523	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-485b%22	http://alisena-html.buzline.org/gallery-two-columns.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/gallery-two-columns.html	(from http://alisena-html.buzline.org/)
19:15:48	19056/19056	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-4a70%22	http://alisena-html.buzline.org/gallery-four-columns.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/gallery-four-columns.html	(from http://alisena-html.buzline.org/)
19:15:48	22985/22985	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-59c9%22	http://alisena-html.buzline.org/enroll.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/enroll.html	(from http://alisena-html.buzline.org/)
19:15:48	20576/20576	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-5060%22	http://alisena-html.buzline.org/custom-page-one.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/custom-page-one.html	(from http://alisena-html.buzline.org/)
19:15:48	17163/17163	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-430b%22	http://alisena-html.buzline.org/custom-page-two.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/custom-page-two.html	(from http://alisena-html.buzline.org/)
19:15:49	17295/17295	---MCZ	200	added ('OK')	text/html	etag:W/%225c788960-438f%22	http://alisena-html.buzline.org/custom-page-three.html	C:/Users/wejdene/Desktop/ejaw/temp/alisena-html.buzline.org/custom-page-three.html	(from http://alisena-html.buzline.org/)
